Student_ID,Netid,Course,Class_Standing,Major,Gender,URM_Status,First_Gen_Status,GPA,ACT_SAT_Math_Percentile,AP_Calculus_AB,AP_Calculus_BC,AP_Physics_EM,AP_Physics_Mech,PreScores,PostScores,Assessment,Semester,Sequence,Course_Content,Instruction,IntendedMajor,Class_ID
4473780,,P2213,Sophomore,UNAFFIL-BS,M,Majority,ContGen,3.851,99.0,Well,NotTaken,NotTaken,NotTaken,16.0,,CSEM,FA,Engineering,EM,Old,,2018FA-2213
4811265,,P2213,Sophomore,MSCN-BS,M,Majority,ContGen,3.482,99.0,Well,Well,NotTaken,NotTaken,,25.0,CSEM,FA,Engineering,EM,Old,,2018FA-2213
4008867,,P2213,Sophomore,BSCN-BS,M,URM,ContGen,2.467,88.0,NotTaken,NotTaken,NotTaken,NotTaken,9.0,7.0,CSEM,SP,Engineering,EM,Old,,2019SP-2213
4921872,,P2213,Fresh,UNAFFIL-BS,M,Majority,ContGen,3.271,100.0,Well,Well,NotTaken,Well,19.0,21.0,CSEM,SP,Engineering,EM,Old,,2019SP-2213
4789844,,P2213,Fresh,UNAFFIL-BS,M,Majority,ContGen,3.811,99.0,Well,Well,NotTaken,NotTaken,15.0,7.0,CSEM,SP,Engineering,EM,Old,,2019SP-2213
4685482,,P2213,Sophomore,UNAFFIL-BS,F,Majority,ContGen,3.163,99.0,Poor,Poor,NotTaken,NotTaken,10.0,,CSEM,SP,Engineering,EM,Old,,2019SP-2213
3802093,bjs267,P2213,Sophomore,BEEAG-BS,M,URM,ContGen,3.182,99.0,Well,Well,NotTaken,NotTaken,9.0,19.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4048133,jdg269,P2213,Sophomore,UNAFFIL-BS,M,Majority,ContGen,3.525,99.0,Well,Well,Poor,Poor,20.0,13.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4102306,dm678,P2213,Sophomore,UNAFFIL-BS,M,URM,ContGen,2.641,97.0,Well,Well,Poor,Poor,18.0,26.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4135333,kz73,P2213,Sophomore,UNAFFIL-BS,F,Majority,ContGen,3.677,99.0,Well,Well,Poor,Poor,15.0,16.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4157999,ml958,P2213,Sophomore,OREN-BS,F,Majority,ContGen,3.677,99.0,Well,Well,Poor,Well,12.0,26.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4110307,eyj3,P2213,Sophomore,UNAFFIL-BS,F,Majority,ContGen,3.452,99.0,Well,Well,NotTaken,NotTaken,8.0,18.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
3995237,afc57,P2213,Sophomore,UNAFFIL-BS,F,Majority,ContGen,3.467,99.0,Well,Well,Poor,Well,10.0,17.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4110445,tj222,P2213,Sophomore,UNAFFIL-BS,M,Majority,ContGen,4.046,100.0,Well,Well,NotTaken,NotTaken,17.0,26.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4117968,ws374,P2213,Sophomore,CSCN-BS,F,Majority,ContGen,3.184,98.0,Well,Well,NotTaken,Poor,10.0,17.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4022962,mtd58,P2213,Sophomore,UNAFFIL-BS,M,URM,ContGen,3.847,99.0,NotTaken,NotTaken,NotTaken,NotTaken,6.0,21.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4149871,ssn38,P2213,Sophomore,ENVEN-BS,M,Majority,ContGen,3.184,99.0,Well,Well,NotTaken,Well,22.0,23.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4025642,adp88,P2213,Sophomore,CSCN-BS,F,Majority,ContGen,3.368,99.0,Well,Well,NotTaken,NotTaken,12.0,17.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
3803365,sni6,P2213,Sophomore,UNAFFIL-BS,F,Majority,ContGen,3.325,99.0,Well,Well,Poor,Well,14.0,23.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4375147,rjl268,P2213,Sophomore,UNDECLR-AB,M,Majority,FirstGen,2.98,95.0,Well,Well,NotTaken,NotTaken,9.0,13.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4124256,ak754,P2213,Sophomore,UNAFFIL-BS,F,Majority,ContGen,3.186,99.0,Well,Well,Poor,Poor,8.0,13.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4275663,jc2922,P2213,Sophomore,UNAFFIL-BS,F,Majority,FirstGen,3.149,98.0,Well,Well,NotTaken,NotTaken,12.0,17.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4266763,mff55,P2213,Sophomore,BEEAG-BS,M,URM,ContGen,2.357,93.0,NotTaken,NotTaken,NotTaken,NotTaken,10.0,13.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4204376,dep78,P2213,Sophomore,UNAFFIL-BS,M,Majority,ContGen,3.969,100.0,Well,Well,NotTaken,NotTaken,19.0,25.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4378160,tz76,P2213,Sophomore,UNAFFIL-BS,F,Majority,ContGen,4.158,100.0,Well,Well,NotTaken,NotTaken,15.0,21.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4147195,kev29,P2213,Sophomore,UNAFFIL-BS,F,Majority,ContGen,3.684,100.0,Well,NotTaken,NotTaken,NotTaken,6.0,20.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4362346,dap265,P2213,Sophomore,UNAFFIL-BS,M,Majority,ContGen,3.43,92.0,Well,Well,NotTaken,NotTaken,16.0,12.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
4307008,rb683,P2213,Sophomore,UNAFFIL-BS,F,Majority,ContGen,3.044,98.0,Well,Well,NotTaken,NotTaken,12.0,11.0,CSEM,FA,Engineering,EM,Old,,2017FA-2213
